Period,Revenue,Sales_quantity,Average_cost,The_average_annual_payroll_of_the_region
2015-01-01,0.6055687658288271,0.6000000511341835,0.101595579855704,0.6000000413453062
2015-01-02,0.0,0.0,0.1711337075177548,0.0
2015-01-03,0.6460068275568837,0.6464897183848025,0.18921136048372483,0.5999999724364624
2015-01-04,0.7467677877121764,0.7302653968557042,0.08630183312675976,0.800000020672653
2015-01-05,0.6055687658288271,0.6000000511341835,0.356199805678108,0.6000000413453062
2015-01-06,0.6490721520797158,0.6833798227115487,0.11375154155938305,0.6000000413453062
2015-01-07,0.5881618757231012,0.5506505804505968,0.0,0.6000000413453062
2015-01-08,0.5792893805674535,0.5387207426440325,0.44786985169137383,0.6000000413453062
2015-01-09,0.6565743671545172,0.7245881191261843,0.03245008076741862,0.6000000413453062
2015-01-10,0.5552833990674041,0.47864555681474324,0.03245008076741862,0.6000000413453062
2015-01-11,0.6055687658288271,0.6000000511341835,0.18805696825795,0.6000000413453062
2015-01-12,0.6929269992634497,0.7389812875754584,0.10093640282987615,0.6000000413453062
2016-01-01,0.5080408004728528,0.46241866171368307,0.5183081863981384,0.6000000413453062
2016-01-02,0.5995885600212985,0.6000000511341835,0.40721508864024775,0.6000000413453062
2016-01-03,0.6746981772592457,0.6947703399833108,0.35273677803326303,0.6000000413453062
2016-01-04,0.5546254352328721,0.5266353125707428,0.640375078251809,0.6000000413453062
2016-01-05,0.6055687658288271,0.6000000511341835,0.46531845405087824,0.6000000413453062
2016-01-06,0.6773117716157435,0.7011687128191249,0.3480655845674435,0.6000000413453062
2016-01-07,0.5244226234143514,0.48492942788849186,0.5011890671334602,0.6000000413453062
2016-01-08,0.6055687658288271,0.6000000511341835,0.5011890671334602,0.6000000413453062
2016-01-09,0.7201109138462015,0.7346325176101078,0.637744166239216,0.6000000413453062
2016-01-10,0.47432861501000345,0.466420948093611,0.24920931922739467,0.6000000413453062
2016-01-11,0.6055687658288271,0.5837486235584813,0.3264809565269864,0.6000000413453062
2016-01-12,0.7224133227283159,0.7384974762898474,0.30635597325319036,0.6000000413453062
2017-01-01,0.4959220058890058,0.46987774997144205,0.7050382448228949,0.6000000413453062
2017-01-02,0.6055687658288271,0.6000000511341835,0.5560018039772793,0.6000000413453062
2017-01-03,0.6944472649678284,0.6978494826757841,0.6777243630204068,0.6000000413453062
2017-01-04,0.527074397090236,0.5209956256657706,0.27454027378179047,0.6000000413453062
2017-01-05,0.6055687658288271,0.6000000511341835,0.8313583238749054,0.6000000413453062
2017-01-06,0.6597806715898344,0.7017309283282328,0.37538399910669795,0.6000000413453062
2017-01-07,0.5749394652415027,0.48690594807731613,0.5387566905326351,0.6000000413453062
2017-01-08,0.5884067053014906,0.6000000511341835,0.41052367997896766,0.6000000413453062
2017-01-09,0.6904539511107328,0.7317867770779782,0.31713249890856965,0.6000000413453062
2017-01-10,0.5049970118845218,0.4588670137469252,0.3499114018894899,0.6000000413453062
2017-01-11,0.6055687658288271,0.6000000511341835,0.2421226170587294,0.6000000413453062
2017-01-12,0.7152794125723441,0.7371658770597579,0.2400686563655657,0.6000000413453062
2018-01-01,0.49414901610692713,0.4648178309394511,0.7687361176386156,0.6038682771636857
2018-01-02,0.6055687658288271,0.6000000511341835,0.5829139577633214,0.5941976876177368
2018-01-03,0.6759159441462532,0.7088340404785757,0.3518554683702947,0.6000000413453062
2018-01-04,0.555757873213638,0.5043401772149615,0.34671150871759937,0.601934159254496
2018-01-05,0.6055687658288271,0.6000000511341835,0.6038463508704085,0.6000000413453062
2018-01-06,0.6372783936298566,0.6932162768757492,0.22871837390381022,0.6000000413453062
2018-01-07,0.5930009022415156,0.5080056494814461,0.5776249868517516,0.6000000413453062
2018-01-08,0.5904320681188701,0.6000000511341835,0.5668560659767792,0.6000000413453062
2018-01-09,0.6625209976172837,0.717281245751259,0.2802203053613462,0.6000000413453062
2018-01-10,0.5521303353348652,0.47007546003493916,0.4475972866183665,0.6000000413453062
2018-01-11,0.5821464854461836,0.6000000511341835,0.3858480944655233,0.6000000413453062
2018-01-12,0.673393987369857,0.7145446221282566,0.21499036603441016,0.6000000413453062
